플랜트,오더 유형,MRP 관리자,생산 감독자,자재,자재 내역,오더,기본 시작일,기본 종료일,오더 수량 (GMEIN),확인된 수율 수량 (GMEIN),납품 수량 (GMEIN),단위 (=GMEIN),시스템 상태,생산 버전,변경일,릴리스일자(실제),실제종료일,계획된 릴리스일,프로그램 릴리스
1021,HR01,M01,P01,40001766,The미식 황등비빔밥 고기구반제품,1000071929,2026-01-01,2026-01-01,475.75,457,457,KG,REL  MSPT CNF  DLV  PRC  GMCO RESA SETC,PP01,2026-01-01,2025-12-30,2026-01-01,,
1021,HR01,M01,P01,40001767,The미식 황등비빔밥 혼합구반제품,1000071930,2026-01-01,2026-01-01,822.8,775,775,KG,REL  MSPT CNF  DLV  PRC  GMCO RESA SETC,PP01,2026-01-01,2025-12-30,2026-01-01,,
1021,HR01,M01,P01,40002413,The미식 황등비빔밥 210g 지함미포장,1000071931,2026-01-01,2026-01-01,"14,498","14,178","14,178",EA,REL  MSPT CNF  DLV  PRC  BCRQ GMCO RESA*,PPO1,2026-01-02,2025-12-30,2026-01-01,,
1021,HR01,M01,P01,50002334,The미식 황등비빔밥 컵 210g (18입),1000071932,2026-01-01,2026-01-01,"6,590","5,958","5,958",EA,REL  MSPT CNF  DLV  PRC  BCRQ GMCO SETC,PP01,2026-01-02,2025-12-30,2026-01-01,,
1021,HR01,M01,P01,40002249,The미식 강원곤드레나물밥 볶음구반제품,1000071940,2026-01-02,2026-01-02,"1,400.20","1,148.00","1,148.00",KG,REL  MSPT CNF  DLV  PRC  GMCO MANC RESA*,PPO1,2026-01-05,2025-12-30,2026-01-02,,
1021,HR01,M01,P01,40002250,The미식 강원곤드레나물밥 조미액반제품,1000071941,2026-01-02,2026-01-02,225.8,225.798,225.798,KG,REL  MSPT CNF  DLV  PRC  GMCO RESA SETC,PPO1,2026-01-05,2025-12-30,2026-01-02,,
1021,HR01,M01,P01,40002416,The미식 강원 곤드레나물밥 198g 지함미포장,1000071942,2026-01-02,2026-01-02,"21,840","22,880","22,880",EA,REL  MSPT CNF  DLV  PRC  BCRQ GMCO RESA*,PPO1,,2025-12-30,2026-01-02,,
1021,HR01,M01,P01,50004280,The미식 강원 곤드레나물밥 420g(210g x 2개입),1000072279,2026-01-02,2026-01-02,"1,080","1,905","1,905",EA,REL  CNF  DLV  PRC  BCRQ GMCO MACM SETC,PPO1,,2026-01-02,2026-01-05,,
1021,HR01,M01,P01,50004281,The미식 강원 곤드레나물밥 840g(210g x 4개입),1000071943,2026-01-02,2026-01-02,"4,368","4,640","4,640",EA,REL  MSPT CNF  DLV  PRC  BCRQ GMCO SETC,PPO1,,2025-12-30,2026-01-02,,
1021,HR01,M01,P01,50004280,The미식 강원 곤드레나물밥 420g(210g x 2개입),1000072306,2026-01-05,2026-01-05,255,255,255,EA,REL  CNF  DLV  PRC  BCRQ GMCO MACM SETC,PPO1,,2026-01-05,2026-01-05,,
1021,HR01,M01,P01,40000917,쟌슨빌소시지김치볶음밥 볶음구반제품,1000072078,2026-01-06,2026-01-06,"3,117.24","3,063.00","3,063.00",KG,REL  MSPT CNF  DLV  PRC  GMCO SETC,PP01,2026-01-06,2025-12-31,2026-01-06,,
1021,HR01,M01,P01,40002092,쟌슨빌 김치볶음밥 조미액반제품,1000072080,2026-01-06,2026-01-06,252,252,252,KG,REL  MSPT CNF  DLV  PRC  CSER GMCO SETC,PPO1,,2025-12-31,2026-01-06,,
1021,HR01,M01,P01,40002417,쟌슨빌 소시지 김치볶음밥 250g 미포장,1000072086,2026-01-06,2026-01-06,"35,280","37,830","37,830",EA,REL  MSPT CNF  DLV  PRC  CSER BCRQ GMCO*,PPO1,,2025-12-31,2026-01-07,,
