플랜트,오더,자재,자재 내역,자재이동 지시자,이동 유형,입력단위수량 (ERFME),입력단위 (=ERFME),자재 문서 연도,전기일,자재 문서,자재 문서 항목,저장 위치,배치,차변/대변지시자,금액(현지 통화) (WAERS),통화
1021,1000071867,10000001,한우소뼈/국내산/냉동/,1,261,163.5,KG,2025,2025-12-31,4903103031,1,2200,,H,"114,450",KRW
1021,1000071867,10000001,한우소뼈/국내산/냉동/,1,261,150.6,KG,2025,2025-12-31,4903103032,1,2200,,H,"105,420",KRW
1021,1000072146,10000001,한우소뼈/국내산/냉동/,1,261,284.6,KG,2026,2026-01-06,4903123744,1,2200,,H,"199,220",KRW
1021,1000071995,10000001,한우소뼈/국내산/냉동/,1,261,67,KG,2026,2026-01-06,4903125620,1,2200,,H,"46,900",KRW
1021,1000071995,10000001,한우소뼈/국내산/냉동/,1,261,470.1,KG,2026,2026-01-06,4903125622,1,2200,,H,"329,070",KRW
1021,1000071867,10000018,양지/미국산/냉동/,1,261,413.13,KG,2025,2025-12-31,4903103029,1,2200,,H,"4,890,860",KRW
1021,1000071867,10000018,양지/미국산/냉동/,1,261,75.98,KG,2025,2025-12-31,4903103030,1,2200,,H,"899,493",KRW
1021,1000072146,10000018,양지/미국산/냉동/,1,261,455.83,KG,2026,2026-01-06,4903123748,1,2200,,H,"6,042,688",KRW
1021,1000072262,10000018,양지/미국산/냉동/,1,261,723.221,KG,2026,2026-01-06,4903126349,1,2200,,H,"9,587,343",KRW
1021,1000072262,10000018,양지/미국산/냉동/,1,261,687.69,KG,2026,2026-01-06,4903126350,1,2200,,H,"9,116,328",KRW
1021,1000072262,10000018,양지/미국산/냉동/,1,261,42.68,KG,2026,2026-01-06,4903126351,1,2200,,H,"565,785",KRW
1021,1000072262,10000018,양지/미국산/냉동/,1,261,673.05,KG,2026,2026-01-06,4903126352,1,2200,,H,"8,922,254",KRW
1021,1000072262,10000018,양지/미국산/냉동/,1,261,45.469,KG,2026,2026-01-06,4903126353,1,2200,,H,"602,758",KRW
1021,1000071866,10000019,[H]척갈비/미국산/냉동/25mm,1,261,600,KG,2025,2025-12-31,4903103025,1,2200,,H,"10,216,411",KRW
1021,1000071866,10000019,[H]척갈비/미국산/냉동/25mm,1,261,540,KG,2025,2025-12-31,4903103026,1,2200,,H,"9,194,770",KRW
1021,1000071866,10000019,[H]척갈비/미국산/냉동/25mm,1,261,160,KG,2025,2025-12-31,4903103027,1,2200,,H,"2,724,376",KRW
1021,1000071866,10000019,[H]척갈비/미국산/냉동/25mm,1,261,600,KG,2025,2025-12-31,4903103028,1,2200,,H,"10,216,411",KRW
1021,1000072145,10000019,[H]척갈비/미국산/냉동/25mm,1,261,"1,080.00",KG,2026,2026-01-05,4903118246,1,2200,,H,"17,956,434",KRW
1021,1000072145,10000019,[H]척갈비/미국산/냉동/25mm,1,261,40,KG,2026,2026-01-05,4903118247,1,2200,,H,"665,053",KRW
1021,1000072145,10000019,[H]척갈비/미국산/냉동/25mm,1,261,600,KG,2026,2026-01-05,4903118248,1,2200,,H,"9,975,797",KRW
1021,1000072068,10000020,양지/호주산/냉동,1,261,40.07,KG,2026,2026-01-02,4903111006,1,2200,,H,"497,937",KRW
1021,1000071847,10000021,사태/호주산/냉동,1,261,573.87,KG,2025,2025-12-30,4903096968,1,2200,,H,"6,943,708",KRW
1021,1000071847,10000021,사태/호주산/냉동,1,261,26.46,KG,2025,2025-12-30,4903096969,1,2200,,H,"320,160",KRW
